Date,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Unfollows,Replies,Reposts,Profile visits,Create Post,Video views,Media views
"Mon, Aug 24, 2026",1570,25,36,0,0,1,1,4,0,7,3,0,0
"Sun, Aug 23, 2026",714,30,38,0,0,1,1,3,0,5,5,0,0
"Sat, Aug 22, 2026",723,33,54,2,0,4,1,5,0,14,6,0,0
"Fri, Aug 21, 2026",2121,54,84,0,0,5,2,7,1,22,5,0,0
"Thu, Aug 20, 2026",3026,59,98,0,0,9,1,10,0,29,5,0,0
"Wed, Aug 19, 2026",3077,49,83,0,0,4,0,14,1,19,4,0,0
"Tue, Aug 18, 2026",1810,46,76,1,0,5,0,11,0,18,3,0,0
